Fri Aug 11 15:17:42 2023    stats.prof

         14279460 function calls (13935027 primitive calls) in 18.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.218    0.017 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:357(init)
       13    0.003    0.000    0.218    0.017 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:373(_find_singly_assigned_variable)
   199294    0.217    0.000    0.217    0.000 {built-in method numpy.array}
      117    0.000    0.000    0.214    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\postproc.py:42(usedefs)
13235/13049    0.021    0.000    0.214    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
    60833    0.066    0.000    0.213    0.000 <__array_function__ internals>:177(dot)
       24    0.000    0.000    0.209    0.009 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:1058(wrapper)
       14    0.000    0.000    0.209    0.015 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\binding\executionengine.py:87(finalize_object)
    19344    0.085    0.000    0.204    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\interpolate\_interpolate.py:760(_check_bounds)
       11    0.000    0.000    0.199    0.018 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\templates.py:749(_build_impl)
       13    0.000    0.000    0.199    0.015 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\untyped_passes.py:79(run_pass)
       13    0.002    0.000    0.199    0.015 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\interpreter.py:1352(interpret)
  466/270    0.001    0.000    0.198    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\decorators.py:224(_func)
       14    0.000    0.000    0.192    0.014 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:667(_optimize_final_module)
       28    0.000    0.000    0.192    0.007 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\binding\passmanagers.py:665(run)
       13    0.001    0.000    0.188    0.014 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:1036(build_constraint)
    19344    0.074    0.000    0.188    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\_lib\_util.py:206(_asarray_validated)
      897    0.001    0.000    0.188    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:1384(constrain_statement)
